id,이름,구역,세대,옛이름
p01,김정호,1구역,H01,
p02,이순자,1구역,H01,
p03,윤서진,1구역,H02,
p04,서은미,1구역,H02,
p05,박민수,1구역,H03,
p06,황선미,1구역,H03,
p07,박성우,2구역,,
p08,최민준,2구역,,
p09,정미경,2구역,,
p10,배정숙,2구역,,
p11,임재현,2구역,H04,
p12,하경아,2구역,H04,
p13,한수진,3구역,장동철,
p14,김미영,3구역,,
p15,오세훈,3구역,H05,
p16,신영철,3구역,,
p17,구본영,3구역,,
p18,양미숙,3구역,H05,
p19,김태섭,4구역,H06,
p20,이현우,4구역,,
p21,강민철,4구역,H08,
p22,문지훈,4구역,,
p23,조은숙,4구역,H06,
p24,남기훈,4구역,H08,
p25,김영희,5구역,,
p26,장동현,5구역,,
p27,홍기석,5구역,H09,
p28,박민수,5구역,H20,
p29,전상우,5구역,H09,
p30,유정민,5구역,,유정숙
p31,권태호,6구역,H10,
p32,심수정,6구역,H10,
p33,노경환,6구역,,
p34,도현아,6구역,,
p35,백승기,6구역,H11,
p36,안미라,6구역,H11,
p37,표진우,7구역,H12,
p38,소민경,7구역,H12,
p39,하재호,7구역,,
p40,방은영,7구역,,
p41,천용석,7구역,H13,
p42,추소연,7구역,H13,
p43,이재원,1구역,H31,
p44,김수현,1구역,H31,
p45,박지훈,2구역,,
p46,최서연,2구역,H32,
p47,정우진,2구역,H32,
p48,김하늘,3구역,,
p49,이도윤,3구역,박영수,
p50,박서준,4구역,,
p51,최지우,4구역,,
p52,정예린,5구역,H33,
p53,강하은,5구역,H33,
p54,조민재,6구역,,
p55,윤지호,6구역,,윤지원
p56,임채원,7구역,,
p57,한지민,7구역,,
p58,송민호,1구역,,
p59,오하람,2구역,,
p60,서지안,3구역,,
