거래일자,거래시간,적요,입금액,출금액,잔액,입금자명
2026-03-29,09:00,타행이체,"300,000",,"5,300,000",김정호
2026-03-29,09:07,타행이체,"150,000",,"5,450,000",이순자
2026-03-29,09:30,체크카드,,"12,000","5,438,000",마트
2026-03-29,09:14,타행이체,"170,000",,"5,608,000",李현우
2026-03-29,09:21,타행이체,"400,000",,"6,008,000",(주)한빛건설
2026-03-29,09:28,타행이체,"500,000",,"6,508,000",우리상사
2026-03-29,09:35,타행이체,"170,000",,"6,678,000",김보라
2026-03-29,10:42,타행이체,"100,000",,"6,778,000",유정민
2026-03-29,10:49,타행이체,"180,000",,"6,958,000",윤서진
2026-03-29,10:56,타행이체,"160,000",,"7,118,000",서은미
2026-03-29,10:03,타행이체,"75,000",,"7,193,000",방은영
2026-03-29,10:10,타행이체,"85,000",,"7,278,000",표진우
2026-03-29,10:17,타행이체,"95,000",,"7,373,000",소민경
2026-03-29,11:24,타행이체,"65,000",,"7,438,000",하재호
2026-03-29,11:31,타행이체,"55,000",,"7,493,000",도현아
2026-03-29,11:38,타행이체,"105,000",,"7,598,000",백승기
2026-03-29,11:45,타행이체,"300,000",,"7,898,000",노경환
2026-03-29,11:52,타행이체,"45,000",,"7,943,000",심수정
2026-03-29,11:59,타행이체,"125,000",,"8,068,000",권태호
2026-03-29,12:06,타행이체,"95,000",,"8,163,000",구본영
2026-03-29,12:13,타행이체,"120,000",,"8,283,000",오세훈
